TOKEN	WEIGHT
agreements	-1.5840747655849972
relevant	-1.5809438712176374
building	-1.5790666058511773
return	-1.5710026039249247
large	-1.5682385952952176
changes	-1.567259265363691
dignity	-1.5622978295298184
share	-1.5607178049120616
hopes	-1.5601422534574758
goal	-1.5595945972148026
humanity	-1.5553959707887461
said	-1.5547607659074394
then	-1.5534919874299706
main	-1.5531782856829197
day	-1.5505845352067638
Palestine	-1.549786936077701
point	-1.5438654202068083
programme	-1.5438452379101368
Convention	-1.5428323100244616
equality	-1.542655082465816
open	-1.5412223599136956
partners	-1.5397421950232693
economies	-1.5395312026521135
His	-1.539004258319613
facing	-1.5380492195877857
China	-1.5375371148151853
reality	-1.5350153648914204
allow	-1.5345139322349106
example	-1.5296930278252348
All	-1.5270850352826095
field	-1.5233943009630382
different	-1.5223048391041887
control	-1.5218910878948755
education	-1.519191155049918
active	-1.5189242357603092
groups	-1.5157039451988523
reason	-1.5066569961973677
developments	-1.5038085401608436
territories	-1.5009480704369715
Those	-1.4997551147172952
Iran	-1.499526922096327
refugees	-1.495910976958189
achieving	-1.4953723008043904
Summit	-1.4949968962807516
look	-1.4945766300817964
priority	-1.4896689391438145
crises	-1.4835160666257634
race	-1.483168527413611
terrorist	-1.4814961608300339
hand	-1.4795320578698032
majority	-1.4782042331109269
times	-1.4781525430669016
aspirations	-1.4769137676814552
prevent	-1.4716446486294732
occupation	-1.4558394297522976
Peace	-1.4557700724571478
Lebanon	-1.454367640063246
island	-1.4525023234855874
creation	-1.452040641804453
requires	-1.4487669478578722
steps	-1.446672827067767
Minister	-1.4464275200614545
case	-1.4459663299906045
adoption	-1.4450962589987693
shall	-1.4411963260963803
consider	-1.4353830798585763
led	-1.4343919347569003
food	-1.4336546182939278
period	-1.4311809632322088
recognized	-1.4276720190879433
successful	-1.4273119708313073
poor	-1.4246312991833572
programmes	-1.4233290403985748
responsibilities	-1.4165077609197483
promoting	-1.4158694198295183
accordance	-1.4146249844624958
indeed	-1.413553999499801
decision	-1.4131287491738866
growing	-1.4128966078654464
legal	-1.4128386862077944
increasing	-1.41265400432191
increased	-1.4101662512897502
Cyprus	-1.4073592783772961
confidence	-1.4063071387262043
plan	-1.4060142282852433
What	-1.405152244706719
Korea	-1.4028710741366714
sovereign	-1.401680420345545
nature	-1.4014555276580567
self-determination	-1.4008896754087155
objective	-1.4008374149783849
operations	-1.3995324569501455
appropriate	-1.3969397920309339
access	-1.394959600121171
despite	-1.3922715046064313
regions	-1.3905561330730833
Group	-1.3904664807127787
apartheid	-1.3901112120384487
planet	-1.3874110453668704
often	-1.3837655432077829
beyond	-1.3797842319888223
complete	-1.3789701122617921
health	-1.3745069003597534
historic	-1.3697084340525099
created	-1.3687107135310592
levels	-1.364097665829085
unity	-1.3637735724937166
integration	-1.361222384466149
deal	-1.3598662405648303
aware	-1.3596290159990143
state	-1.3544222167342401
consensus	-1.3509071299153967
tribute	-1.350061747997272
Community	-1.3488546256322402
tension	-1.3466083253625762
response	-1.345155165000511
benefit	-1.3416136048298704
effectively	-1.3413255031889475
parts	-1.3407960780299233
North	-1.3403701076854904
potential	-1.3375212788612765
governance	-1.3317879636880077
called	-1.3304579256084608
anniversary	-1.328798336162162
manner	-1.3279862710559975
environmental	-1.3278721372261868
brought	-1.326938154764583
aid	-1.3261654690163673
conclusion	-1.324973893532617
peacekeeping	-1.324106227248612
vital	-1.322798777673031
clearly	-1.3211660723290595
presidency	-1.3210184328550105
Burundi	-1.320355954061916
Islamic	-1.3169027280860406
$	-1.3155394986827054
body	-1.3149154656774202
ourselves	-1.312361762695764
Committee	-1.311814514905252
path	-1.3116595648711538
impact	-1.310713327561678
purposes	-1.3059254691860263
reached	-1.3028237060106813
rather	-1.297606573900099
civil	-1.2965832366711758
following	-1.29457550731644
cultural	-1.2940358842494546
enable	-1.2912691053418075
lack	-1.2912634566290022
around	-1.2909588627209234
appeal	-1.2858425443641648
mass	-1.2848366187455325
recognize	-1.2788361707583986
maintain	-1.2783889498494043
reforms	-1.2734259266502836
involved	-1.271982371692274
direct	-1.2710037093393491
reiterate	-1.269653224790855
Western	-1.2691803175267855
decades	-1.2678513840522025
go	-1.2666224921749725
extend	-1.263770802009643
Commission	-1.2635047442595777
implement	-1.2602373116684074
increasingly	-1.2560669215999483
note	-1.2558607143509235
did	-1.255619417693417
opportunities	-1.254419318761459
constructive	-1.2535634693561761
urge	-1.25089405701093
welcomes	-1.2506626685416227
recognition	-1.2496901011442227
appreciation	-1.2456121073406132
protect	-1.2453985348131318
sense	-1.2430674436687632
longer	-1.2416990803624854
proposals	-1.2415154290644699
disputes	-1.2389130725446353
occupied	-1.2380548625820043
Albania	-1.2379740663605234
forum	-1.2347378821292683
soon	-1.230266142928502
form	-1.2296346344054312
words	-1.2283543166919209
reach	-1.2268904094442954
agreed	-1.2255721000342827
beginning	-1.2227061405809654
victims	-1.2226659111283167
technology	-1.218007910049588
promotion	-1.2173380361350925
seen	-1.2162180987613838
representative	-1.2156281999209062
vision	-1.2148700725408523
provided	-1.2139806066400571
key	-1.2132030599060115
Kingdom	-1.2115688334779304
Agreement	-1.2103514607509278
genuine	-1.2095266453210478
concerns	-1.208666927661009
globalization	-1.2076305971421248
continuing	-1.2015187138564662
serve	-1.2011058897716596
concrete	-1.2006287441196855
several	-1.1969554712863963
shared	-1.194393300879861
equitable	-1.1932908396915551
Such	-1.190508836078296
strongly	-1.1896808711298823
congratulations	-1.1894715061667815
forms	-1.189070932910516
effects	-1.1882879407899338
ensuring	-1.1861782083428094
overcome	-1.1815806938938764
existence	-1.1813827908562267
southern	-1.1776384684682308
believes	-1.1770622546529033
calls	-1.1764855123650027
account	-1.1733643408694705
reconciliation	-1.1733085770767937
Azerbaijan	-1.1718955262828101
desire	-1.1657099739008094
needed	-1.1656307132851151
having	-1.1646254431323027
borders	-1.164524670860721
stand	-1.1641704176422971
equal	-1.1610491016419313
firmly	-1.1610235986481503
develop	-1.1567124400481406
improve	-1.1562085552766403
turn	-1.1552970530399838
might	-1.154473674662855
critical	-1.1544589982289466
responsible	-1.1539547537369332
Sustainable	-1.1529729739751424
sincere	-1.15173648235503
secure	-1.1504330835186292
men	-1.1500173777707376
situations	-1.147281389161768
achievement	-1.1455811235013735
supported	-1.1454477601321158
production	-1.1433194155786761
West	-1.1409690660654541
individual	-1.1392697029413998
pleased	-1.1375264606156787
causes	-1.135656331915615
difficulties	-1.1354898702931824
strategy	-1.1344395723724352
used	-1.1323303503558753
firm	-1.131518284549255
crucial	-1.130057085858935
troops	-1.1299315257703797
total	-1.1295746051366342
deep	-1.1282566830933043
One	-1.1275969970121495
debate	-1.1235324350590816
former	-1.1228130168613562
exercise	-1.1220710846657964
guarantee	-1.1193015915672302
domestic	-1.1131232554259647
crimes	-1.111535766640888
ready	-1.1112755741612197
months	-1.1085164008767368
[	-1.108334520446655
expressed	-1.100082700561419
existing	-1.0964306848006862
obligations	-1.0962648547609712
ways	-1.0950787746321466
determined	-1.0948060664697619
side	-1.0944461053573145
join	-1.094022850731178
joint	-1.0926348441509213
Agenda	-1.092483673363679
societies	-1.088397734950237
summit	-1.0882927517091063
billion	-1.0876309119297578
focus	-1.0851862132686745
group	-1.0842471394003876
Australia	-1.0831562862031245
immediate	-1.0794012464008864
crime	-1.0789072516988967
second	-1.0788364095861274
search	-1.0774608805421897
reaffirm	-1.0769497204846794
close	-1.075811565129408
withdrawal	-1.0729106162374584
statement	-1.0710196640296805
actively	-1.0706986739563191
humankind	-1.0686864672950367
Indeed	-1.0648753781014064
early	-1.063888625101025
Since	-1.0622565268943018
partnership	-1.062183465312468
agencies	-1.060577370049609
require	-1.0592362979689984
standards	-1.0588033889927861
wishes	-1.0587652327348462
down	-1.0578665309843907
participate	-1.0559965708366494
move	-1.0550462812799226
Israeli	-1.0526012709422237
investment	-1.0520867441098982
balance	-1.0510575581079105
land	-1.0502426243406113
status	-1.0501946622591776
trust	-1.0457297393772311
]	-1.0455363128083066
millions	-1.0419844427963882
Programme	-1.0388493507361158
management	-1.0358563271185373
talks	-1.0349353681505824
addition	-1.034628080971097
specific	-1.034321598576823
proposal	-1.0340041825713728
mission	-1.0328576453245137
affected	-1.0313366780209554
era	-1.0311766421457973
subject	-1.0311280938017988
Bosnia	-1.0305687924139701
undertaken	-1.030546783024708
Syria	-1.0287328658148718
fair	-1.0285563593731673
maintenance	-1.0271443826503253
Afghan	-1.0269062021307231
reduction	-1.024540094934621
final	-1.0205383357685667
almost	-1.0189129574201503
along	-1.0179600984649215
predecessor	-1.0173008913026516
alone	-1.0121423010591803
sanctions	-1.0118603981520404
capital	-1.0094937896200948
Foreign	-1.007770117327803
rise	-1.0052175204122888
mechanisms	-1.0021548555595932
nor	-1.0013595096501542
dangerous	-1.0010331707586966
trafficking	-1.001009043599739
presence	-1.0009722590876813
due	-1.000228892111219
ethnic	-1.0002001580288473
complex	-0.998516206015843
five	-0.9950547693277023
confrontation	-0.9943973787059238
generations	-0.99316494092356
took	-0.9927250978687774
rich	-0.9922308395401058
light	-0.9920234096909439
ability	-0.9916319835897746
mandate	-0.9912732336096831
achievements	-0.9902390290598102
thank	-0.9902315825071862
external	-0.9889591848254277
diplomatic	-0.9888622551439491
May	-0.9875948205785173
man	-0.9870700982655793
leading	-0.9864289298176488
purpose	-0.9840802733222471
whether	-0.9833313736037677
doubt	-0.9815366542701754
road	-0.9809610929039554
faith	-0.9789567956810675
illegal	-0.9782222744826639
combat	-0.9765620508835673
drug	-0.9736796237317543
source	-0.9718652671501549
wars	-0.9704320176550049
primary	-0.9694933872005892
Pacific	-0.9687907947460035
outcome	-0.967020748853094
circumstances	-0.9662444447400923
shown	-0.9622891176575052
central	-0.9622788429732752
attacks	-0.9619075274904254
Therefore	-0.961420446087573
caused	-0.9609894830371701
questions	-0.9600477283271258
let	-0.959712706972875
accept	-0.9589068910509349
found	-0.958270000586953
concept	-0.9574683411287729
strategic	-0.9557711738044513
neighbours	-0.9548880793686888
above	-0.9548497804109228
demand	-0.9528502752191987
honour	-0.9523336490114118
Court	-0.9503178482252439
representatives	-0.9489788175255088
effect	-0.9482989785807902
systems	-0.948215435051086
National	-0.9462194313949296
Argentina	-0.9454095255815603
Action	-0.9440283084379154
vulnerable	-0.9434435366016972
moral	-0.9421293160128824
decade	-0.9407879977495104
bilateral	-0.9401411100420859
signed	-0.9400526780950715
demands	-0.9394942770860525
Cuba	-0.9377887681212891
differences	-0.9377690211601141
back	-0.9369409499915525
effectiveness	-0.9341757594284499
encourage	-0.9322260295267173
Thus	-0.9304352151782944
reduce	-0.929893784915875
imperative	-0.9296849759174252
movement	-0.929129180531932
organization	-0.9285893344702406
Congo	-0.9276490669059443
coexistence	-0.9275921361056068
market	-0.9268209604022797
gratitude	-0.9262453877819365
realities	-0.9258793338480195
interference	-0.9227167227873444
opinion	-0.9223928226273398
truly	-0.9184566456520842
authority	-0.9165629690631327
required	-0.9158841404524122
Despite	-0.9151170764962561
10	-0.9140663799122493
days	-0.9137354989677087
young	-0.912422105100736
violations	-0.9122096650437926
thousands	-0.9121524145996347
reconstruction	-0.9119952484046406
instrument	-0.9119212118670267
review	-0.9100888651310567
outside	-0.9051512166951969
grave	-0.9048623430981213
liberation	-0.9044474237809595
feel	-0.9044007986672392
hunger	-0.903861404219816
offer	-0.9035648174475592
No	-0.8998158366316895
greatest	-0.8980941956672288
Somalia	-0.8980429342766353
communities	-0.8964714280950017
practical	-0.894438135140687
include	-0.8941987889056494
ongoing	-0.8932720054333017
June	-0.8931814408920035
respond	-0.8931034655582859
known	-0.8908657748609037
rules	-0.8906155366226891
Bahamas	-0.8876138528550824
Haiti	-0.8869012699787789
Trade	-0.8860485124587058
confident	-0.8852187478641744
duty	-0.8821302304756228
demonstrated	-0.8811580976252735
markets	-0.8802632458481845
When	-0.8785278464967466
friendly	-0.8762499152641576
prevention	-0.8747661341895487
carried	-0.8734568947273739
bodies	-0.87142430921639
transition	-0.8711660246259337
stage	-0.8695096565359833
multilateralism	-0.8683874462380639
persons	-0.8660008120630687
Countries	-0.8650212811766694
connection	-0.8646526408782768
thanks	-0.8646137897133237
Herzegovina	-0.8637252634838224
creating	-0.8632112594338469
reflect	-0.8626831758330757
begin	-0.8617777583432769
addressing	-0.8593473417125338
limited	-0.8586164854050229
becoming	-0.85747825343761
Kosovo	-0.8569746256485655
industrialized	-0.8557767396004352
deeply	-0.8545671220309358
detente	-0.8532250582149364
establishing	-0.8529366499159011
failure	-0.8504206294292532
imposed	-0.85026484182004
Cooperation	-0.8496101851361348
think	-0.8486397436229394
Fund	-0.8473406663391895
speak	-0.8468218687028658
providing	-0.8449043994252
family	-0.8439000908791097
Pakistan	-0.8431979384229571
well-being	-0.8424883106069158
de	-0.8424189999325558
July	-0.8424081783678808
financing	-0.8420649216892405
aspects	-0.8388966267475699
profound	-0.8371833426491629
'	-0.8341196148542641
danger	-0.8338826073418633
sector	-0.8327874324109752
discrimination	-0.8327521058450109
provisions	-0.8314024765611998
powerful	-0.829770174314145
ideals	-0.8273994562833048
implemented	-0.8271611241366169
consideration	-0.8265868083340524
Gulf	-0.8260765825292151
represent	-0.824945695522102
seriously	-0.8246750567340198
constitute	-0.8244346169879876
culture	-0.823392022277347
tragic	-0.8231868566095365
Armenia	-0.8216593960960097
He	-0.8211761233134167
office	-0.8200557351752533
enhance	-0.8197194334581906
scourge	-0.8190875606068776
War	-0.8185285200021699
united	-0.8175716056274049
single	-0.8173405476421571
Bangladesh	-0.8168991592179102
religious	-0.8163776380465175
seeking	-0.8163312461536794
priorities	-0.8153271681073695
intervention	-0.8149297111812956
Climate	-0.8148274049342515
services	-0.8133922442557402
proposed	-0.8118984792991828
assist	-0.8093906411756162
until	-0.8056085221153142
tensions	-0.8048401782798583
nothing	-0.8041157984461993
twenty-first	-0.8037866183259451
assure	-0.801706321828428
